Workload,Work-life Balance,Job Satisfaction,Interpersonal Relationships,Job Security,Recognition and Appreciation,Coping Mechanisms,Physical Symptoms,Mental Fatigue,Job Future,Stress Level
Very Manageable,Never,Satisfied,Generally Positive,Secure,Often,Rarely,Sometimes,Sometimes,Optimistic,Normal
Extremely Overwhelming,Never,Very Satisfied,Neutral,Neutral,Rarely,Always,Sometimes,Always,Pessimistic,Moderate
Neutral,Always,Very Dissatisfied,Very Positive,Very Insecure,Never,Always,Always,Often,Pessimistic,Severe
Neutral,Never,Neutral,Generally Positive,Very Insecure,Often,Never,Sometimes,Rarely,Pessimistic,Mild
Overwhelming,Rarely,Very Satisfied,Very Negative,Neutral,Often,Often,Rarely,Often,Optimistic,Mild
Extremely Overwhelming,Always,Very Dissatisfied,Very Positive,Insecure,Often,Often,Always,Sometimes,Neutral,Moderate
Overwhelming,Never,Satisfied,Neutral,Very Insecure,Often,Sometimes,Always,Rarely,Very Pessimistic,Moderate
Overwhelming,Sometimes,Dissatisfied,Very Negative,Very Secure,Always,Often,Often,Often,Neutral,Moderate
Very Manageable,Rarely,Satisfied,Neutral,Very Insecure,Never,Always,Rarely,Often,Optimistic,Moderate
Overwhelming,Rarely,Very Dissatisfied,Generally Positive,Very Insecure,Never,Never,Always,Often,Pessimistic,Moderate
Extremely Overwhelming,Always,Very Dissatisfied,Very Negative,Insecure,Sometimes,Never,Never,Sometimes,Optimistic,Moderate
Manageable,Often,Dissatisfied,Neutral,Very Insecure,Always,Often,Always,Always,Optimistic,Moderate
Very Manageable,Rarely,Satisfied,Neutral,Very Secure,Sometimes,Sometimes,Sometimes,Often,Very Optimistic,Mild
Neutral,Sometimes,Very Satisfied,Neutral,Neutral,Rarely,Always,Never,Always,Neutral,Moderate
Overwhelming,Rarely,Very Dissatisfied,Generally Positive,Very Insecure,Sometimes,Often,Rarely,Never,Very Optimistic,Mild
Manageable,Sometimes,Dissatisfied,Generally Positive,Neutral,Sometimes,Never,Often,Sometimes,Optimistic,Mild
Overwhelming,Always,Satisfied,Generally Negative,Secure,Never,Rarely,Sometimes,Sometimes,Very Optimistic,Moderate
Manageable,Rarely,Satisfied,Neutral,Neutral,Sometimes,Rarely,Often,Sometimes,Very Optimistic,Mild
Overwhelming,Often,Very Satisfied,Very Positive,Secure,Rarely,Always,Rarely,Always,Pessimistic,Moderate
Very Manageable,Rarely,Dissatisfied,Neutral,Secure,Never,Never,Rarely,Often,Optimistic,Mild
Overwhelming,Sometimes,Very Satisfied,Very Negative,Very Insecure,Often,Often,Sometimes,Rarely,Very Optimistic,Mild
Neutral,Rarely,Dissatisfied,Neutral,Very Insecure,Rarely,Rarely,Rarely,Sometimes,Pessimistic,Moderate
Overwhelming,Never,Very Satisfied,Neutral,Very Secure,Always,Often,Sometimes,Sometimes,Optimistic,Mild
Manageable,Rarely,Satisfied,Very Negative,Very Secure,Often,Often,Always,Never,Very Optimistic,Mild
Very Manageable,Often,Very Dissatisfied,Very Negative,Secure,Often,Sometimes,Rarely,Never,Neutral,Mild
Neutral,Rarely,Very Dissatisfied,Neutral,Neutral,Often,Rarely,Never,Rarely,Very Pessimistic,Mild
Neutral,Never,Satisfied,Neutral,Very Secure,Sometimes,Sometimes,Always,Sometimes,Optimistic,Mild
Manageable,Often,Very Satisfied,Very Positive,Insecure,Sometimes,Always,Often,Always,Very Optimistic,Mild
Very Manageable,Never,Very Dissatisfied,Generally Positive,Very Secure,Rarely,Sometimes,Always,Often,Very Optimistic,Mild
Neutral,Sometimes,Dissatisfied,Generally Negative,Insecure,Never,Never,Always,Always,Neutral,Moderate
Manageable,Always,Dissatisfied,Neutral,Neutral,Sometimes,Always,Rarely,Always,Optimistic,Moderate
Very Manageable,Never,Very Satisfied,Generally Positive,Secure,Often,Never,Often,Always,Pessimistic,Mild
Neutral,Never,Dissatisfied,Generally Positive,Very Secure,Often,Often,Rarely,Always,Pessimistic,Mild
Manageable,Always,Very Satisfied,Generally Positive,Insecure,Sometimes,Often,Always,Rarely,Neutral,Moderate
Very Manageable,Always,Neutral,Very Positive,Secure,Rarely,Rarely,Never,Rarely,Very Optimistic,Mild
Neutral,Sometimes,Very Dissatisfied,Generally Positive,Neutral,Never,Rarely,Always,Sometimes,Pessimistic,Moderate
Manageable,Always,Neutral,Generally Positive,Neutral,Rarely,Sometimes,Always,Sometimes,Very Pessimistic,Moderate
Very Manageable,Never,Dissatisfied,Neutral,Very Secure,Never,Often,Always,Always,Neutral,Moderate
Neutral,Never,Dissatisfied,Neutral,Neutral,Never,Rarely,Sometimes,Often,Very Pessimistic,Moderate
Very Manageable,Rarely,Very Satisfied,Very Negative,Very Insecure,Often,Rarely,Often,Often,Pessimistic,Mild
